Value,Count,LC20_BPS_220,LC24_SCla_250,nps_4kplus,BPS_MODEL,BPS_NAME,GROUPVEG,FRI_REPLAC,FRI_MIXED,FRI_SURFAC,FRI_ALLFIR,LABEL,UNIT_NAME,UNIT_TYPE
65,524.000000000000000,733,132,369,10550_1_8_9,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,Conifer,232,248,-9999,120,Barren or Sparse,North Cascades National Park,National Park
66,730.000000000000000,728,132,369,10412_1_7,North Pacific Mountain Hemlock Forest-Xeric,Conifer,294,615,1001,166,Barren or Sparse,North Cascades National Park,National Park
67,3613.000000000000000,728,2,369,10412_1_7,North Pacific Mountain Hemlock Forest-Xeric,Conifer,294,615,1001,166,B,North Cascades National Park,National Park
68,45.000000000000000,733,4,369,10550_1_8_9,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,Conifer,232,248,-9999,120,D,North Cascades National Park,National Park
69,3.000000000000000,-1111,-1111,369,-1111,Fill-Not Mapped,Fill-Not Mapped,-9999,-9999,-9999,-9999,Fill-Not Mapped,North Cascades National Park,National Park
70,2337.000000000000000,728,5,369,10412_1_7,North Pacific Mountain Hemlock Forest-Xeric,Conifer,294,615,1001,166,E,North Cascades National Park,National Park
71,36490.000000000000000,734,2,369,10560_1_7_8_9,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,Conifer,120,415,-9999,93,B,North Cascades National Park,National Park
72,1220.000000000000000,731,3,369,10460_1_7_9,Northern Rocky Mountain Subalpine Woodland and Parkland,Conifer,345,79,-9999,64,C,North Cascades National Park,National Park
73,173.000000000000000,756,6,369,11710_1,North Pacific Alpine and Subalpine Dry Grassland,Grassland,504,-9999,-9999,504,UN,North Cascades National Park,National Park
74,640.000000000000000,741,6,369,10840_1,North Pacific Montane Shrubland,Shrubland,10975,-9999,-9999,10975,UN,North Cascades National Park,National Park
75,105564.000000000000000,12,112,369,0,Perennial Ice/Snow,Perennial Ice/Snow,-9999,-9999,-9999,-9999,Snow/Ice,North Cascades National Park,National Park
76,703.000000000000000,719,132,369,10060,Rocky Mountain Alpine/Montane Sparsely Vegetated Systems,Sparse,-9999,-9999,-9999,-9999,Barren or Sparse,North Cascades National Park,National Park
77,6929.000000000000000,11,111,369,0,Open Water,Open Water,-9999,-9999,-9999,-9999,Water,North Cascades National Park,National Park
78,11343.000000000000000,718,132,369,10030,North Pacific Sparsely Vegetated Systems,Sparse,-9999,-9999,-9999,-9999,Barren or Sparse,North Cascades National Park,National Park
79,1762.000000000000000,752,1,369,11581_1_2_7,North Pacific Montane Riparian Woodland and Shrubland-Wet,Riparian,1888,1598,-9999,865,A,North Cascades National Park,National Park
80,26054.000000000000000,729,7,369,10420_1_7,North Pacific Mesic Western Hemlock-Silver Fir Forest,Conifer,3606,1742,-9999,1172,UE,North Cascades National Park,National Park
81,7495.000000000000000,727,7,369,10411_1_7,North Pacific Mountain Hemlock Forest-Wet,Conifer,10910,5135,-9999,3461,UE,North Cascades National Park,National Park
82,112.000000000000000,752,7,369,11581_1_2_7,North Pacific Montane Riparian Woodland and Shrubland-Wet,Riparian,1888,1598,-9999,865,UE,North Cascades National Park,National Park
83,1126.000000000000000,728,1,369,10412_1_7,North Pacific Mountain Hemlock Forest-Xeric,Conifer,294,615,1001,166,A,North Cascades National Park,National Park
84,19892.000000000000000,724,5,369,10370_1_2_7,North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest,Conifer,336,105,-9999,80,E,North Cascades National Park,National Park
