Value,Count,LC20_BPS_220,LC24_SCla_250,nps_4kplus,BPS_MODEL,BPS_NAME,GROUPVEG,FRI_REPLAC,FRI_MIXED,FRI_SURFAC,FRI_ALLFIR,LABEL,UNIT_NAME,UNIT_TYPE
2739,11.000000000000000,706,1,82,11390_21,Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland,Grassland,32,-9999,-9999,32,A,"John D. Rockefeller, Jr., Memorial Parkway",Parkway
2740,13.000000000000000,706,3,82,11390_21,Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland,Grassland,32,-9999,-9999,32,C,"John D. Rockefeller, Jr., Memorial Parkway",Parkway
2741,14.000000000000000,714,120,82,11610_21,Northern Rocky Mountain Conifer Swamp,Conifer,401,-9999,-9999,401,Developed,"John D. Rockefeller, Jr., Memorial Parkway",Parkway
2742,7.000000000000000,713,132,82,11600_21,Rocky Mountain Subalpine/Upper Montane Riparian Systems,Riparian,335,2775,-9999,299,Barren or Sparse,"John D. Rockefeller, Jr., Memorial Parkway",Parkway
2743,5.000000000000000,701,1,82,11060_20_21_29,Northern Rocky Mountain Montane-Foothill Deciduous Shrubland,Shrubland,79,-9999,-9999,79,A,"John D. Rockefeller, Jr., Memorial Parkway",Parkway
2744,22270.000000000000000,693,3,78,10550_21_22,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,Conifer,333,-9999,-9999,333,C,Grand Teton National Park,National Park
2745,43647.000000000000000,693,4,78,10550_21_22,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,Conifer,333,-9999,-9999,333,D,Grand Teton National Park,National Park
2746,22171.000000000000000,693,1,78,10550_21_22,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,Conifer,333,-9999,-9999,333,A,Grand Teton National Park,National Park
2747,8.000000000000000,715,132,82,11660_21,Middle Rocky Mountain Montane Douglas-fir Forest and Woodland,Conifer,296,46,-9999,40,Barren or Sparse,"John D. Rockefeller, Jr., Memorial Parkway",Parkway
2748,9.000000000000000,709,2,82,11440_21_22,Rocky Mountain Alpine Turf,Grassland,515,-9999,-9999,515,B,"John D. Rockefeller, Jr., Memorial Parkway",Parkway
2749,43.000000000000000,712,120,82,11590_21,Rocky Mountain Montane Riparian Systems,Riparian,180,-9999,-9999,180,Developed,"John D. Rockefeller, Jr., Memorial Parkway",Parkway
2750,1.000000000000000,712,132,82,11590_21,Rocky Mountain Montane Riparian Systems,Riparian,180,-9999,-9999,180,Barren or Sparse,"John D. Rockefeller, Jr., Memorial Parkway",Parkway
2751,1961.000000000000000,693,2,78,10550_21_22,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,Conifer,333,-9999,-9999,333,B,Grand Teton National Park,National Park
2752,38120.000000000000000,689,1,78,10460_21,Northern Rocky Mountain Subalpine Woodland and Parkland,Conifer,515,324,-9999,199,A,Grand Teton National Park,National Park
2753,30.000000000000000,704,120,82,11260_21,Inter-Mountain Basins Montane Sagebrush Steppe,Shrubland,50,-9999,-9999,50,Developed,"John D. Rockefeller, Jr., Memorial Parkway",Parkway
2754,14126.000000000000000,689,4,78,10460_21,Northern Rocky Mountain Subalpine Woodland and Parkland,Conifer,515,324,-9999,199,D,Grand Teton National Park,National Park
2755,108300.000000000000000,411,132,78,10060,Rocky Mountain Alpine/Montane Sparsely Vegetated Systems,Sparse,-9999,-9999,-9999,-9999,Barren or Sparse,Grand Teton National Park,National Park
2756,992.000000000000000,701,2,78,11060_20_21_29,Northern Rocky Mountain Montane-Foothill Deciduous Shrubland,Shrubland,79,-9999,-9999,79,B,Grand Teton National Park,National Park
2757,5214.000000000000000,710,3,78,11450_21,Rocky Mountain Subalpine-Montane Mesic Meadow,Grassland,40,-9999,-9999,40,C,Grand Teton National Park,National Park
2758,79383.000000000000000,694,1,78,10560_21_22,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,Conifer,432,895,-9999,291,A,Grand Teton National Park,National Park
2759,12157.000000000000000,689,5,78,10460_21,Northern Rocky Mountain Subalpine Woodland and Parkland,Conifer,515,324,-9999,199,E,Grand Teton National Park,National Park
2760,114308.000000000000000,694,4,78,10560_21_22,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,Conifer,432,895,-9999,291,D,Grand Teton National Park,National Park
2761,88058.000000000000000,694,5,78,10560_21_22,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,Conifer,432,895,-9999,291,E,Grand Teton National Park,National Park
2762,16317.000000000000000,713,2,78,11600_21,Rocky Mountain Subalpine/Upper Montane Riparian Systems,Riparian,335,2775,-9999,299,B,Grand Teton National Park,National Park
2763,30.000000000000000,701,2,82,11060_20_21_29,Northern Rocky Mountain Montane-Foothill Deciduous Shrubland,Shrubland,79,-9999,-9999,79,B,"John D. Rockefeller, Jr., Memorial Parkway",Parkway
2764,150.000000000000000,689,2,82,10460_21,Northern Rocky Mountain Subalpine Woodland and Parkland,Conifer,515,324,-9999,199,B,"John D. Rockefeller, Jr., Memorial Parkway",Parkway
2765,1370.000000000000000,689,2,78,10460_21,Northern Rocky Mountain Subalpine Woodland and Parkland,Conifer,515,324,-9999,199,B,Grand Teton National Park,National Park
2766,8480.000000000000000,689,3,78,10460_21,Northern Rocky Mountain Subalpine Woodland and Parkland,Conifer,515,324,-9999,199,C,Grand Teton National Park,National Park
2767,29237.000000000000000,686,4,78,10110_21,Rocky Mountain Aspen Forest and Woodland,Hardwood,110,-9999,-9999,110,D,Grand Teton National Park,National Park
2768,1.000000000000000,686,3,82,10110_21,Rocky Mountain Aspen Forest and Woodland,Hardwood,110,-9999,-9999,110,C,"John D. Rockefeller, Jr., Memorial Parkway",Parkway
2769,5.000000000000000,710,6,82,11450_21,Rocky Mountain Subalpine-Montane Mesic Meadow,Grassland,40,-9999,-9999,40,UN,"John D. Rockefeller, Jr., Memorial Parkway",Parkway
2770,5169.000000000000000,715,4,78,11660_21,Middle Rocky Mountain Montane Douglas-fir Forest and Woodland,Conifer,296,46,-9999,40,D,Grand Teton National Park,National Park
2771,33434.000000000000000,686,5,78,10110_21,Rocky Mountain Aspen Forest and Woodland,Hardwood,110,-9999,-9999,110,E,Grand Teton National Park,National Park
2772,13925.000000000000000,715,5,78,11660_21,Middle Rocky Mountain Montane Douglas-fir Forest and Woodland,Conifer,296,46,-9999,40,E,Grand Teton National Park,National Park
2773,2.000000000000000,715,2,82,11660_21,Middle Rocky Mountain Montane Douglas-fir Forest and Woodland,Conifer,296,46,-9999,40,B,"John D. Rockefeller, Jr., Memorial Parkway",Parkway
2774,39882.000000000000000,686,1,78,10110_21,Rocky Mountain Aspen Forest and Woodland,Hardwood,110,-9999,-9999,110,A,Grand Teton National Park,National Park
2775,6631.000000000000000,686,2,78,10110_21,Rocky Mountain Aspen Forest and Woodland,Hardwood,110,-9999,-9999,110,B,Grand Teton National Park,National Park
2776,7065.000000000000000,693,132,78,10550_21_22,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,Conifer,333,-9999,-9999,333,Barren or Sparse,Grand Teton National Park,National Park
2777,868.000000000000000,715,3,78,11660_21,Middle Rocky Mountain Montane Douglas-fir Forest and Woodland,Conifer,296,46,-9999,40,C,Grand Teton National Park,National Park
2778,6618.000000000000000,715,1,78,11660_21,Middle Rocky Mountain Montane Douglas-fir Forest and Woodland,Conifer,296,46,-9999,40,A,Grand Teton National Park,National Park
2779,32401.000000000000000,713,1,78,11600_21,Rocky Mountain Subalpine/Upper Montane Riparian Systems,Riparian,335,2775,-9999,299,A,Grand Teton National Park,National Park
2780,25073.000000000000000,694,3,78,10560_21_22,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,Conifer,432,895,-9999,291,C,Grand Teton National Park,National Park
2781,16601.000000000000000,712,1,78,11590_21,Rocky Mountain Montane Riparian Systems,Riparian,180,-9999,-9999,180,A,Grand Teton National Park,National Park
2782,2768.000000000000000,714,1,78,11610_21,Northern Rocky Mountain Conifer Swamp,Conifer,401,-9999,-9999,401,A,Grand Teton National Park,National Park
2783,3393.000000000000000,714,3,78,11610_21,Northern Rocky Mountain Conifer Swamp,Conifer,401,-9999,-9999,401,C,Grand Teton National Park,National Park
2784,8429.000000000000000,712,3,78,11590_21,Rocky Mountain Montane Riparian Systems,Riparian,180,-9999,-9999,180,C,Grand Teton National Park,National Park
2785,31720.000000000000000,689,132,78,10460_21,Northern Rocky Mountain Subalpine Woodland and Parkland,Conifer,515,324,-9999,199,Barren or Sparse,Grand Teton National Park,National Park
2786,1.000000000000000,714,132,82,11610_21,Northern Rocky Mountain Conifer Swamp,Conifer,401,-9999,-9999,401,Barren or Sparse,"John D. Rockefeller, Jr., Memorial Parkway",Parkway
2787,12631.000000000000000,709,2,78,11440_21_22,Rocky Mountain Alpine Turf,Grassland,515,-9999,-9999,515,B,Grand Teton National Park,National Park
2788,944.000000000000000,714,2,78,11610_21,Northern Rocky Mountain Conifer Swamp,Conifer,401,-9999,-9999,401,B,Grand Teton National Park,National Park
2789,15471.000000000000000,694,132,78,10560_21_22,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,Conifer,432,895,-9999,291,Barren or Sparse,Grand Teton National Park,National Park
2790,143.000000000000000,701,6,78,11060_20_21_29,Northern Rocky Mountain Montane-Foothill Deciduous Shrubland,Shrubland,79,-9999,-9999,79,UN,Grand Teton National Park,National Park
2791,2033.000000000000000,686,132,78,10110_21,Rocky Mountain Aspen Forest and Woodland,Hardwood,110,-9999,-9999,110,Barren or Sparse,Grand Teton National Park,National Park
2792,1041.000000000000000,701,1,78,11060_20_21_29,Northern Rocky Mountain Montane-Foothill Deciduous Shrubland,Shrubland,79,-9999,-9999,79,A,Grand Teton National Park,National Park
2793,9.000000000000000,701,6,82,11060_20_21_29,Northern Rocky Mountain Montane-Foothill Deciduous Shrubland,Shrubland,79,-9999,-9999,79,UN,"John D. Rockefeller, Jr., Memorial Parkway",Parkway
2794,1614.000000000000000,715,132,78,11660_21,Middle Rocky Mountain Montane Douglas-fir Forest and Woodland,Conifer,296,46,-9999,40,Barren or Sparse,Grand Teton National Park,National Park
2795,1.000000000000000,710,7,82,11450_21,Rocky Mountain Subalpine-Montane Mesic Meadow,Grassland,40,-9999,-9999,40,UE,"John D. Rockefeller, Jr., Memorial Parkway",Parkway
2796,159916.000000000000000,11,111,78,0,Open Water,Open Water,-9999,-9999,-9999,-9999,Water,Grand Teton National Park,National Park
2797,249.000000000000000,694,2,78,10560_21_22,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,Conifer,432,895,-9999,291,B,Grand Teton National Park,National Park
2798,3330.000000000000000,709,1,78,11440_21_22,Rocky Mountain Alpine Turf,Grassland,515,-9999,-9999,515,A,Grand Teton National Park,National Park
2799,3397.000000000000000,710,1,78,11450_21,Rocky Mountain Subalpine-Montane Mesic Meadow,Grassland,40,-9999,-9999,40,A,Grand Teton National Park,National Park
2800,13968.000000000000000,704,1,78,11260_21,Inter-Mountain Basins Montane Sagebrush Steppe,Shrubland,50,-9999,-9999,50,A,Grand Teton National Park,National Park
2801,8735.000000000000000,704,6,78,11260_21,Inter-Mountain Basins Montane Sagebrush Steppe,Shrubland,50,-9999,-9999,50,UN,Grand Teton National Park,National Park
2802,60415.000000000000000,704,2,78,11260_21,Inter-Mountain Basins Montane Sagebrush Steppe,Shrubland,50,-9999,-9999,50,B,Grand Teton National Park,National Park
2803,145468.000000000000000,704,3,78,11260_21,Inter-Mountain Basins Montane Sagebrush Steppe,Shrubland,50,-9999,-9999,50,C,Grand Teton National Park,National Park
2804,168.000000000000000,693,7,78,10550_21_22,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,Conifer,333,-9999,-9999,333,UE,Grand Teton National Park,National Park
2805,5353.000000000000000,704,120,78,11260_21,Inter-Mountain Basins Montane Sagebrush Steppe,Shrubland,50,-9999,-9999,50,Developed,Grand Teton National Park,National Park
2806,488.000000000000000,693,120,78,10550_21_22,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,Conifer,333,-9999,-9999,333,Developed,Grand Teton National Park,National Park
2807,24914.000000000000000,704,7,78,11260_21,Inter-Mountain Basins Montane Sagebrush Steppe,Shrubland,50,-9999,-9999,50,UE,Grand Teton National Park,National Park
2808,165.000000000000000,716,1,78,11670_21,Rocky Mountain Poor-Site Lodgepole Pine Forest,Conifer,324,551,-9999,204,A,Grand Teton National Park,National Park
2809,5.000000000000000,706,3,78,11390_21,Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland,Grassland,32,-9999,-9999,32,C,Grand Teton National Park,National Park
2810,915.000000000000000,713,120,78,11600_21,Rocky Mountain Subalpine/Upper Montane Riparian Systems,Riparian,335,2775,-9999,299,Developed,Grand Teton National Park,National Park
2811,341.000000000000000,706,6,78,11390_21,Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland,Grassland,32,-9999,-9999,32,UN,Grand Teton National Park,National Park
2812,764.000000000000000,712,120,78,11590_21,Rocky Mountain Montane Riparian Systems,Riparian,180,-9999,-9999,180,Developed,Grand Teton National Park,National Park
2813,13.000000000000000,706,2,78,11390_21,Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland,Grassland,32,-9999,-9999,32,B,Grand Teton National Park,National Park
2814,3310.000000000000000,694,120,78,10560_21_22,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,Conifer,432,895,-9999,291,Developed,Grand Teton National Park,National Park
2815,2.000000000000000,710,120,78,11450_21,Rocky Mountain Subalpine-Montane Mesic Meadow,Grassland,40,-9999,-9999,40,Developed,Grand Teton National Park,National Park
2816,171.000000000000000,710,2,78,11450_21,Rocky Mountain Subalpine-Montane Mesic Meadow,Grassland,40,-9999,-9999,40,B,Grand Teton National Park,National Park
2817,88.000000000000000,715,120,78,11660_21,Middle Rocky Mountain Montane Douglas-fir Forest and Woodland,Conifer,296,46,-9999,40,Developed,Grand Teton National Park,National Park
2818,4.000000000000000,716,3,78,11670_21,Rocky Mountain Poor-Site Lodgepole Pine Forest,Conifer,324,551,-9999,204,C,Grand Teton National Park,National Park
2819,1619.000000000000000,694,7,78,10560_21_22,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,Conifer,432,895,-9999,291,UE,Grand Teton National Park,National Park
2820,86.000000000000000,714,120,78,11610_21,Northern Rocky Mountain Conifer Swamp,Conifer,401,-9999,-9999,401,Developed,Grand Teton National Park,National Park
2821,774.000000000000000,686,120,78,10110_21,Rocky Mountain Aspen Forest and Woodland,Hardwood,110,-9999,-9999,110,Developed,Grand Teton National Park,National Park
2822,11.000000000000000,716,2,78,11670_21,Rocky Mountain Poor-Site Lodgepole Pine Forest,Conifer,324,551,-9999,204,B,Grand Teton National Park,National Park
2823,3022.000000000000000,713,7,78,11600_21,Rocky Mountain Subalpine/Upper Montane Riparian Systems,Riparian,335,2775,-9999,299,UE,Grand Teton National Park,National Park
2824,2785.000000000000000,686,7,78,10110_21,Rocky Mountain Aspen Forest and Woodland,Hardwood,110,-9999,-9999,110,UE,Grand Teton National Park,National Park
2825,13.000000000000000,706,7,78,11390_21,Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland,Grassland,32,-9999,-9999,32,UE,Grand Teton National Park,National Park
2826,468.000000000000000,715,7,78,11660_21,Middle Rocky Mountain Montane Douglas-fir Forest and Woodland,Conifer,296,46,-9999,40,UE,Grand Teton National Park,National Park
2827,53099.000000000000000,31,132,78,0,Barren-Rock/Sand/Clay,Barren-Rock/Sand/Clay,-9999,-9999,-9999,-9999,Barren or Sparse,Grand Teton National Park,National Park
2828,1942.000000000000000,410,132,78,10010,Inter-Mountain Basins Sparsely Vegetated Systems,Sparse,-9999,-9999,-9999,-9999,Barren or Sparse,Grand Teton National Park,National Park
2829,32.000000000000000,701,3,78,11060_20_21_29,Northern Rocky Mountain Montane-Foothill Deciduous Shrubland,Shrubland,79,-9999,-9999,79,C,Grand Teton National Park,National Park
2830,1078.000000000000000,686,3,78,10110_21,Rocky Mountain Aspen Forest and Woodland,Hardwood,110,-9999,-9999,110,C,Grand Teton National Park,National Park
2831,13.000000000000000,706,120,78,11390_21,Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland,Grassland,32,-9999,-9999,32,Developed,Grand Teton National Park,National Park
2832,39.000000000000000,716,132,78,11670_21,Rocky Mountain Poor-Site Lodgepole Pine Forest,Conifer,324,551,-9999,204,Barren or Sparse,Grand Teton National Park,National Park
2833,8.000000000000000,715,2,78,11660_21,Middle Rocky Mountain Montane Douglas-fir Forest and Woodland,Conifer,296,46,-9999,40,B,Grand Teton National Park,National Park
2834,5641.000000000000000,696,1,78,10700_21,Rocky Mountain Alpine Dwarf-Shrubland,Shrubland,566,-9999,-9999,566,A,Grand Teton National Park,National Park
2835,1111.000000000000000,696,2,78,10700_21,Rocky Mountain Alpine Dwarf-Shrubland,Shrubland,566,-9999,-9999,566,B,Grand Teton National Park,National Park
2836,226.000000000000000,690,2,78,10490_19_20_21_23_28_29,Rocky Mountain Foothill Limber Pine-Juniper Woodland,Conifer,385,-9999,-9999,385,B,Grand Teton National Park,National Park
2837,32.000000000000000,714,7,78,11610_21,Northern Rocky Mountain Conifer Swamp,Conifer,401,-9999,-9999,401,UE,Grand Teton National Park,National Park
2838,1270.000000000000000,690,1,78,10490_19_20_21_23_28_29,Rocky Mountain Foothill Limber Pine-Juniper Woodland,Conifer,385,-9999,-9999,385,A,Grand Teton National Park,National Park
2839,4432.000000000000000,12,112,78,0,Perennial Ice/Snow,Perennial Ice/Snow,-9999,-9999,-9999,-9999,Snow/Ice,Grand Teton National Park,National Park
2840,1069.000000000000000,712,7,78,11590_21,Rocky Mountain Montane Riparian Systems,Riparian,180,-9999,-9999,180,UE,Grand Teton National Park,National Park
2841,1.000000000000000,709,6,100,11440_21_22,Rocky Mountain Alpine Turf,Grassland,515,-9999,-9999,515,UN,Yellowstone National Park,National Park
2842,9.000000000000000,905,2,63,11590_22,Rocky Mountain Montane Riparian Systems,Riparian,271,-9999,79,61,B,Bighorn Canyon National Recreation Area,National Recreation Area
2843,317.000000000000000,900,3,63,11350_22,Inter-Mountain Basins Semi-Desert Grassland,Grassland,25,-9999,-9999,25,C,Bighorn Canyon National Recreation Area,National Recreation Area
2844,8.000000000000000,893,2,63,10810_22,Inter-Mountain Basins Mixed Salt Desert Scrub,Shrubland,450,-9999,-9999,450,B,Bighorn Canyon National Recreation Area,National Recreation Area
2845,1.000000000000000,900,132,63,11350_22,Inter-Mountain Basins Semi-Desert Grassland,Grassland,25,-9999,-9999,25,Barren or Sparse,Bighorn Canyon National Recreation Area,National Recreation Area
2846,102.000000000000000,900,120,63,11350_22,Inter-Mountain Basins Semi-Desert Grassland,Grassland,25,-9999,-9999,25,Developed,Bighorn Canyon National Recreation Area,National Recreation Area
2847,5.000000000000000,900,4,63,11350_22,Inter-Mountain Basins Semi-Desert Grassland,Grassland,25,-9999,-9999,25,D,Bighorn Canyon National Recreation Area,National Recreation Area
2848,20.000000000000000,900,7,63,11350_22,Inter-Mountain Basins Semi-Desert Grassland,Grassland,25,-9999,-9999,25,UE,Bighorn Canyon National Recreation Area,National Recreation Area
2849,2.000000000000000,889,180,63,10660_22,Inter-Mountain Basins Mat Saltbush Shrubland,Shrubland,-9999,-9999,-9999,-9999,Agriculture,Bighorn Canyon National Recreation Area,National Recreation Area
2850,7.000000000000000,900,180,63,11350_22,Inter-Mountain Basins Semi-Desert Grassland,Grassland,25,-9999,-9999,25,Agriculture,Bighorn Canyon National Recreation Area,National Recreation Area
2851,10.000000000000000,900,2,63,11350_22,Inter-Mountain Basins Semi-Desert Grassland,Grassland,25,-9999,-9999,25,B,Bighorn Canyon National Recreation Area,National Recreation Area
2852,3.000000000000000,891,120,63,10801_21_22_28,Inter-Mountain Basins Big Sagebrush Shrubland-Basin Big Sagebrush,Shrubland,72,-9999,-9999,72,Developed,Bighorn Canyon National Recreation Area,National Recreation Area
2853,1.000000000000000,900,1,63,11350_22,Inter-Mountain Basins Semi-Desert Grassland,Grassland,25,-9999,-9999,25,A,Bighorn Canyon National Recreation Area,National Recreation Area
2854,7.000000000000000,889,120,63,10660_22,Inter-Mountain Basins Mat Saltbush Shrubland,Shrubland,-9999,-9999,-9999,-9999,Developed,Bighorn Canyon National Recreation Area,National Recreation Area
2855,2.000000000000000,879,120,63,10110_22,Rocky Mountain Aspen Forest and Woodland,Hardwood,163,-9999,-9999,163,Developed,Bighorn Canyon National Recreation Area,National Recreation Area
2856,1.000000000000000,894,3,63,10861_22,Rocky Mountain Lower Montane-Foothill Shrubland-No True Mountain Mahogany,Shrubland,89,-9999,-9999,89,C,Bighorn Canyon National Recreation Area,National Recreation Area
2857,1.000000000000000,894,7,63,10861_22,Rocky Mountain Lower Montane-Foothill Shrubland-No True Mountain Mahogany,Shrubland,89,-9999,-9999,89,UE,Bighorn Canyon National Recreation Area,National Recreation Area
2858,1.000000000000000,894,2,63,10861_22,Rocky Mountain Lower Montane-Foothill Shrubland-No True Mountain Mahogany,Shrubland,89,-9999,-9999,89,B,Bighorn Canyon National Recreation Area,National Recreation Area
2859,6.000000000000000,905,7,63,11590_22,Rocky Mountain Montane Riparian Systems,Riparian,271,-9999,79,61,UE,Bighorn Canyon National Recreation Area,National Recreation Area
2860,2870.000000000000000,1600,180,265,13950_41_42_43_49_52,North-Central Oak Barrens,Hardwood,341,246,5,5,Agriculture,Mississippi National River and Recreation Area,National River
2861,2526.000000000000000,1600,7,265,13950_41_42_43_49_52,North-Central Oak Barrens,Hardwood,341,246,5,5,UE,Mississippi National River and Recreation Area,National River
2862,13548.000000000000000,1600,120,265,13950_41_42_43_49_52,North-Central Oak Barrens,Hardwood,341,246,5,5,Developed,Mississippi National River and Recreation Area,National River
2863,106.000000000000000,1612,180,265,14930_41_42_44_50,Central Interior and Appalachian Shrub-Herbaceous Wetland Systems,Riparian,17,-9999,-9999,17,Agriculture,Mississippi National River and Recreation Area,National River
2864,1809.000000000000000,1600,2,265,13950_41_42_43_49_52,North-Central Oak Barrens,Hardwood,341,246,5,5,B,Mississippi National River and Recreation Area,National River
2865,1479.000000000000000,1591,180,265,13140_38_39_40_41_42_43_44_50,North-Central Interior Maple-Basswood Forest,Hardwood,1027,-9999,857,467,Agriculture,Mississippi National River and Recreation Area,National River
2866,3896.000000000000000,1599,180,265,13940_39_40_41,North-Central Interior Oak Savanna,Hardwood,550,165,5,5,Agriculture,Mississippi National River and Recreation Area,National River
2867,481.000000000000000,1600,6,265,13950_41_42_43_49_52,North-Central Oak Barrens,Hardwood,341,246,5,5,UN,Mississippi National River and Recreation Area,National River
2868,4374.000000000000000,1600,3,265,13950_41_42_43_49_52,North-Central Oak Barrens,Hardwood,341,246,5,5,C,Mississippi National River and Recreation Area,National River
2869,1617.000000000000000,1591,7,265,13140_38_39_40_41_42_43_44_50,North-Central Interior Maple-Basswood Forest,Hardwood,1027,-9999,857,467,UE,Mississippi National River and Recreation Area,National River
2870,1686.000000000000000,1591,3,265,13140_38_39_40_41_42_43_44_50,North-Central Interior Maple-Basswood Forest,Hardwood,1027,-9999,857,467,C,Mississippi National River and Recreation Area,National River
2871,29.000000000000000,1600,4,265,13950_41_42_43_49_52,North-Central Oak Barrens,Hardwood,341,246,5,5,D,Mississippi National River and Recreation Area,National River
2872,61319.000000000000000,11,111,265,0,Open Water,Open Water,-9999,-9999,-9999,-9999,Water,Mississippi National River and Recreation Area,National River
2873,1413.000000000000000,1591,6,265,13140_38_39_40_41_42_43_44_50,North-Central Interior Maple-Basswood Forest,Hardwood,1027,-9999,857,467,UN,Mississippi National River and Recreation Area,National River
2874,3982.000000000000000,1599,7,265,13940_39_40_41,North-Central Interior Oak Savanna,Hardwood,550,165,5,5,UE,Mississippi National River and Recreation Area,National River
2875,1789.000000000000000,1599,1,265,13940_39_40_41,North-Central Interior Oak Savanna,Hardwood,550,165,5,5,A,Mississippi National River and Recreation Area,National River
2876,10441.000000000000000,1599,3,265,13940_39_40_41,North-Central Interior Oak Savanna,Hardwood,550,165,5,5,C,Mississippi National River and Recreation Area,National River
2877,3858.000000000000000,1599,2,265,13940_39_40_41,North-Central Interior Oak Savanna,Hardwood,550,165,5,5,B,Mississippi National River and Recreation Area,National River
2878,3059.000000000000000,1609,3,265,14790_41_42_47_48_50_51_53,Central Interior and Appalachian Swamp Systems,Riparian,987,-9999,-9999,987,C,Mississippi National River and Recreation Area,National River
2879,1430.000000000000000,1612,6,265,14930_41_42_44_50,Central Interior and Appalachian Shrub-Herbaceous Wetland Systems,Riparian,17,-9999,-9999,17,UN,Mississippi National River and Recreation Area,National River
2880,382.000000000000000,1609,7,265,14790_41_42_47_48_50_51_53,Central Interior and Appalachian Swamp Systems,Riparian,987,-9999,-9999,987,UE,Mississippi National River and Recreation Area,National River
2881,711.000000000000000,1606,7,265,14710_41_50,Central Interior and Appalachian Floodplain Systems,Riparian,-9999,432,67,58,UE,Mississippi National River and Recreation Area,National River
2882,4.000000000000000,1613,4,265,14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,18,-9999,-9999,18,D,Mississippi National River and Recreation Area,National River
2883,11.000000000000000,1613,7,265,14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,18,-9999,-9999,18,UE,Mississippi National River and Recreation Area,National River
2884,543.000000000000000,1609,120,265,14790_41_42_47_48_50_51_53,Central Interior and Appalachian Swamp Systems,Riparian,987,-9999,-9999,987,Developed,Mississippi National River and Recreation Area,National River
2885,775.000000000000000,1612,4,265,14930_41_42_44_50,Central Interior and Appalachian Shrub-Herbaceous Wetland Systems,Riparian,17,-9999,-9999,17,D,Mississippi National River and Recreation Area,National River
2886,634.000000000000000,1612,120,265,14930_41_42_44_50,Central Interior and Appalachian Shrub-Herbaceous Wetland Systems,Riparian,17,-9999,-9999,17,Developed,Mississippi National River and Recreation Area,National River
2887,1024.000000000000000,1606,120,265,14710_41_50,Central Interior and Appalachian Floodplain Systems,Riparian,-9999,432,67,58,Developed,Mississippi National River and Recreation Area,National River
2888,26974.000000000000000,1599,120,265,13940_39_40_41,North-Central Interior Oak Savanna,Hardwood,550,165,5,5,Developed,Mississippi National River and Recreation Area,National River
2889,8183.000000000000000,1591,120,265,13140_38_39_40_41_42_43_44_50,North-Central Interior Maple-Basswood Forest,Hardwood,1027,-9999,857,467,Developed,Mississippi National River and Recreation Area,National River
2890,5401.000000000000000,1606,6,265,14710_41_50,Central Interior and Appalachian Floodplain Systems,Riparian,-9999,432,67,58,UN,Mississippi National River and Recreation Area,National River
2891,322.000000000000000,1612,7,265,14930_41_42_44_50,Central Interior and Appalachian Shrub-Herbaceous Wetland Systems,Riparian,17,-9999,-9999,17,UE,Mississippi National River and Recreation Area,National River
2892,5831.000000000000000,1606,3,265,14710_41_50,Central Interior and Appalachian Floodplain Systems,Riparian,-9999,432,67,58,C,Mississippi National River and Recreation Area,National River
2893,119.000000000000000,1591,2,265,13140_38_39_40_41_42_43_44_50,North-Central Interior Maple-Basswood Forest,Hardwood,1027,-9999,857,467,B,Mississippi National River and Recreation Area,National River
2894,70.000000000000000,1609,2,265,14790_41_42_47_48_50_51_53,Central Interior and Appalachian Swamp Systems,Riparian,987,-9999,-9999,987,B,Mississippi National River and Recreation Area,National River
2895,25.000000000000000,1610,4,265,14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,989,-9999,-9999,989,D,Mississippi National River and Recreation Area,National River
2896,1087.000000000000000,1609,6,265,14790_41_42_47_48_50_51_53,Central Interior and Appalachian Swamp Systems,Riparian,987,-9999,-9999,987,UN,Mississippi National River and Recreation Area,National River
